ProductID|Name|ProductNumber|MakeFlag|FinishedGoodsFlag|Color|SafetyStockLevel|ReorderPoint|StandardCost|ListPrice|Size|SizeUnitMeasureCode|WeightUnitMeasureCode|Weight|DaysToManufacture|ProductLine|Class|Style|ProductSubcategoryID|ProductModelID|SellStartDate|SellEndDate|DiscontinuedDate
1|Adjustable Race|AR-5381|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
2|Bearing Ball|BA-8327|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
3|BB Ball Bearing|BE-2349|True|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
4|Headset Ball Bearings|BE-2908|False|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
316|Blade|BL-2036|True|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
317|LL Crankarm|CA-5965|False|False|Black|500|375|0.0000|0.0000|\N|\N|\N|\N|0|\N|L |\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
318|ML Crankarm|CA-6738|False|False|Black|500|375|0.0000|0.0000|\N|\N|\N|\N|0|\N|M |\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
319|HL Crankarm|CA-7457|False|False|Black|500|375|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
320|Chainring Bolts|CB-2903|False|False|Silver|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
321|Chainring Nut|CN-6137|False|False|Silver|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
322|Chainring|CR-7833|False|False|Black|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
323|Crown Race|CR-9981|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
324|Chain Stays|CS-2812|True|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
325|Decal 1|DC-8732|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
326|Decal 2|DC-9824|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
327|Down Tube|DT-2377|True|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
328|Mountain End Caps|EC-M092|True|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
329|Road End Caps|EC-R098|True|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
330|Touring End Caps|EC-T209|True|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
331|Fork End|FE-3760|True|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
332|Freewheel|FH-2981|False|False|Silver|500|375|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
341|Flat Washer 1|FW-1000|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
342|Flat Washer 6|FW-1200|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
343|Flat Washer 2|FW-1400|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
344|Flat Washer 9|FW-3400|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
345|Flat Washer 4|FW-3800|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
346|Flat Washer 3|FW-5160|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
347|Flat Washer 8|FW-5800|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
348|Flat Washer 5|FW-7160|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
349|Flat Washer 7|FW-9160|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
350|Fork Crown|FC-3654|True|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|1|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
351|Front Derailleur Cage|FC-3982|False|False|Silver|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
352|Front Derailleur Linkage|FL-2301|False|False|Silver|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
355|Guide Pulley|GP-0982|False|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
356|LL Grip Tape|GT-0820|False|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|L |\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
357|ML Grip Tape|GT-1209|False|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|M |\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
358|HL Grip Tape|GT-2908|False|False|\N|800|600|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
359|Thin-Jam Hex Nut 9|HJ-1213|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
360|Thin-Jam Hex Nut 10|HJ-1220|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
361|Thin-Jam Hex Nut 1|HJ-1420|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
362|Thin-Jam Hex Nut 2|HJ-1428|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
363|Thin-Jam Hex Nut 15|HJ-3410|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
364|Thin-Jam Hex Nut 16|HJ-3416|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
365|Thin-Jam Hex Nut 5|HJ-3816|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
366|Thin-Jam Hex Nut 6|HJ-3824|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
367|Thin-Jam Hex Nut 3|HJ-5161|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
368|Thin-Jam Hex Nut 4|HJ-5162|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
369|Thin-Jam Hex Nut 13|HJ-5811|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
370|Thin-Jam Hex Nut 14|HJ-5818|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
371|Thin-Jam Hex Nut 7|HJ-7161|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
372|Thin-Jam Hex Nut 8|HJ-7162|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
373|Thin-Jam Hex Nut 12|HJ-9080|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
374|Thin-Jam Hex Nut 11|HJ-9161|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
375|Hex Nut 5|HN-1024|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
376|Hex Nut 6|HN-1032|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
377|Hex Nut 16|HN-1213|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
378|Hex Nut 17|HN-1220|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
379|Hex Nut 7|HN-1224|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
380|Hex Nut 8|HN-1420|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
381|Hex Nut 9|HN-1428|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
382|Hex Nut 22|HN-3410|False|False|\N|1000|750|0.0000|0.0000|\N|\N|\N|\N|0|\N|\N|\N|\N|\N|2008-04-30 00:00:00.0000000|\N|\N
